day,health,water_ml,state
0,45.0,0,
1,47.0,0,
2,49.0,0,
3,51.0,0,
4,53.0,0,
5,55.0,0,
6,57.0,0,
7,59.0,0,
8,61.0,0,
9,63.0,0,
10,65.0,0,
11,67.0,0,
12,69.0,0,
13,71.0,0,
14,73.0,0,
15,68.0,0,
16,70.0,0,
17,72.0,0,
18,74.0,0,
19,76.0,0,
20,78.0,0,
21,80.0,0,
22,82.0,0,
23,84.0,0,
24,86.0,0,
25,88.0,0,
26,90.0,0,
27,92.0,0,
28,94.0,0,
29,96.0,0,
30,91.0,0,
31,93.0,0,
32,95.0,0,
33,97.0,0,
34,99.0,0,
35,100.0,0,
36,100.0,0,
37,100.0,0,
38,100.0,0,
39,100.0,0,
40,100.0,0,
41,100.0,0,
42,100.0,0,
43,100.0,0,
44,100.0,0,
45,95.0,0,
46,97.0,0,
47,99.0,0,
48,100.0,0,
49,100.0,0,
50,100.0,0,
51,100.0,0,
52,100.0,0,
53,100.0,0,
54,100.0,0,
55,100.0,0,
56,100.0,0,
57,100.0,0,
58,100.0,0,
59,100.0,0,
60,95.0,0,
61,97.0,0,
62,99.0,0,
63,100.0,0,
64,100.0,0,
65,100.0,0,
66,100.0,0,
67,100.0,0,
68,100.0,0,
69,100.0,0,
70,100.0,0,
71,100.0,0,
72,100.0,0,
73,100.0,0,
74,100.0,0,
75,95.0,0,
76,97.0,0,
77,99.0,0,
78,100.0,0,
79,100.0,0,
80,100.0,0,
81,100.0,0,
82,100.0,0,
83,100.0,0,
84,100.0,0,
85,100.0,0,
86,100.0,0,
87,100.0,0,
88,100.0,0,
89,100.0,0,
90,95.0,0,
91,97.0,0,
92,99.0,0,
93,100.0,0,
94,100.0,0,
95,100.0,0,
96,100.0,0,
97,100.0,0,
98,100.0,0,
99,100.0,0,
100,100.0,0,
101,100.0,0,
102,100.0,0,
103,100.0,0,
104,100.0,0,
105,95.0,0,
106,97.0,0,
107,99.0,0,
108,100.0,0,
109,100.0,0,
110,100.0,0,
111,100.0,0,
112,100.0,0,
113,100.0,0,
114,100.0,0,
115,100.0,0,
116,100.0,0,
117,100.0,0,
118,100.0,0,
119,100.0,0,
120,95.0,0,
121,97.0,0,
122,99.0,0,
123,100.0,0,
124,100.0,0,
125,100.0,0,
126,100.0,0,
127,100.0,0,
128,100.0,0,
129,100.0,0,
130,100.0,0,
131,100.0,0,
132,100.0,0,
133,100.0,0,
134,100.0,0,
135,95.0,0,
136,97.0,0,
137,99.0,0,
138,100.0,0,
139,100.0,0,
140,100.0,0,
141,100.0,0,
142,100.0,0,
143,100.0,0,
144,100.0,0,
145,100.0,0,
146,100.0,0,
147,100.0,0,
148,100.0,0,
149,100.0,0,
150,95.0,0,
151,97.0,0,
152,99.0,0,
153,100.0,0,
154,100.0,0,
155,100.0,0,
156,100.0,0,
157,100.0,0,
158,100.0,0,
159,100.0,0,
160,100.0,0,
161,100.0,0,
162,100.0,0,
163,100.0,0,
164,100.0,0,
165,95.0,0,
166,97.0,0,
167,99.0,0,
168,100.0,0,
169,100.0,0,
170,100.0,0,
171,100.0,0,
172,100.0,0,
173,100.0,0,
174,100.0,0,
175,100.0,0,
176,100.0,0,
177,100.0,0,
178,100.0,0,
179,100.0,0,
